LI_0,LI_1,LI_2,LI_3,LI_4,LI_5,LI_6,LI_7,LI_8,LI_9,LI_10,LI_11,LI_12,LI_13,LI_14,LI_15,LI_16,LI_17,LI_18,LI_19,LI_20,LI_21,LI_22,LI_23,LI_24,LI_25,LI_26,LI_27,LI_28,LI_29,LI_30,LI_31,LI_32,LI_33
505.860286144115,709.161417445211,1048.283120498494,1026.919832140481,86.28733805053429,613.182309180678,392.830014162464,76.38998100257689,88.75215648179369,299.835366563082,420.161741668946,270.26960990791,161.3060148331806,130.19065584616078,337.688117702911,647.494426700905,666.668860910031,1019.308744357388,457.480872214339,99.6025227827278,541.430652366811,95.2463513550608,721.005908459854,450.983566938314,63.6297891409195,555.176295449647,38.9059618351306,602.151976791522,1001.302604184781,121.62480497992333,412.886284365641,185.8311483486128,285.315683087318,599.3158594139891
506.163809968774,709.4680584502601,1056.362542941633,1035.94319190612,92.9815618611907,628.070486687272,386.860322648456,70.433644640296,82.0886019439514,291.657024577235,393.815818994702,260.289746628706,157.9963769553811,134.7164376169664,333.159985770469,632.947850169997,653.618485264821,1027.244442044974,476.010175528696,81.5082151224003,559.550711518245,93.9064182756244,730.494898885519,456.927556018193,59.4995288390074,559.330302758041,43.52164363246981,606.7874420154451,1007.28017288488,121.1037521653192,410.71202317142,189.2587638723845,288.741640313429,602.76960011066
506.010770307391,709.313446331845,1052.3000992154748,1031.405777766567,89.6155369604011,620.5846283992821,389.861806964108,73.42845183375039,85.4390200634613,295.768942767987,407.06192570498695,265.307468290045,159.6603673755866,132.4409947034699,335.436594967137,640.26146494976,660.179734075372,1023.254446485176,466.69386595844696,90.6063471480346,550.439063506146,94.5799942176024,725.723341131365,453.938573058508,61.5764501562608,557.241409210545,41.2007426468998,604.456553294114,1004.274261031404,121.3657661224864,411.805302149774,187.53517693464696,287.018906946975,601.032835326777
506.001536043323,709.3041172360711,1052.054247508639,1031.131204056515,89.411836317727,620.131589927237,390.043461604188,73.6096999185448,85.6417882715732,296.017805840656,407.863620248322,265.6111504830289,159.7610781893419,132.3032772236721,335.57438402861203,640.704110713134,660.5768516250209,1023.012967422653,466.130028850578,91.1569455135715,549.887684040369,94.62076812603952,725.434598659439,453.757702333924,61.7021306604004,557.115006241761,41.0602905678278,604.315499396205,1004.092368698446,121.3816213393908,411.87146335496,187.4308773222565,286.914657708471,600.9277409262791
505.987102323715,709.289535299726,1051.669798600755,1030.7018464562,89.0933020020392,619.423152368123,390.327525136932,73.8931271385411,85.958867259116,296.406967657328,409.117279109859,266.08603571439096,159.9185661157926,132.08791976646,335.789853650003,641.3963039081821,661.197851219322,1022.6353535142,465.248325393533,92.01793888181312,549.025477662574,94.6845304357239,724.983085025247,453.474870915146,61.898660151334,556.917347475493,40.8406606946722,604.094929032236,1003.807940408807,121.406414505785,411.974922027685,187.2677815326716,286.751640397356,600.763402912214
505.974565856265,709.276870108896,1051.335717611183,1030.328745509596,88.8165010624169,618.8075277939599,390.57437489173697,74.1394233865569,86.2344062722036,296.745147962945,410.206706386181,266.498708926469,160.05542309702338,131.9007743255105,335.977096786792,641.99781944823,661.737501288759,1022.307209381341,464.482129805969,92.76612963978349,548.276241166418,94.7399414112443,724.590731046609,453.229098066436,62.0694391580152,556.745587612791,40.6498063471359,603.903258004234,1003.560780556375,121.4279591210099,412.064825791197,187.12605545186432,286.60998222271803,600.620597968908
505.964894220611,709.267099172612,1051.077874900382,1030.04079055867,88.6028676514363,618.332389474493,390.764894271414,74.3295152156181,86.44706747057239,297.00615696282,411.047532239949,266.81721158826304,160.1610502204758,131.7563343329496,336.121612324826,642.462072977556,662.154007755549,1022.05394702367,463.890777885558,93.3435803652494,547.697988652594,94.7827089517956,724.287916832531,453.039413793258,62.2012442894136,556.613025757914,40.5025062304141,603.7553279533,1003.370026214755,121.4445869892112,412.13421296492,187.0166729534559,286.500651949351,600.510383198022
505.957548458698,709.2596779942901,1050.881977522533,1029.822017137652,88.4405589493488,617.9713999524749,390.909643247922,74.47393915108,86.6086385412357,297.204461369297,411.686359487094,267.059197265163,160.24130175706551,131.6465942867652,336.231409851016,642.814795356981,662.4704543538489,1021.86152860657,463.441492510895,93.7823012451742,547.25866170158,94.815202703895,724.057854105677,452.895301596944,62.301383012118194,556.512312284188,40.3905945887379,603.642937935479,1003.225101270968,121.4572199835197,412.186930077391,186.9335697545477,286.417588321115,600.426647902985
505.95185518188,709.253926268936,1050.7301120601442,1029.652418611976,88.31473267693559,617.691549778807,391.021857462644,74.58590126122701,86.7338935805434,297.358193675806,412.181600482598,267.246792681599,160.3035155848704,131.56151995747,336.316528790385,643.088238163421,662.715775279221,1021.712359551473,463.093191612334,94.1224104565152,546.918084482964,94.8403933523734,723.879503834034,452.78358240287,62.3790129694423,556.434236865992,40.3038376063216,603.555810232221,1003.11275215514,121.4670133859146,412.227797851197,186.8691461271327,286.353195306141,600.361734390952
505.947300247954,709.249324574466,1050.608588280031,1029.516705419345,88.21404579167131,617.4676115227201,391.111652367605,74.6754943529343,86.8341237367881,297.481211846203,412.577897687225,267.396908402906,160.3532998006811,131.49344252848442,336.384641948021,643.307050188334,662.91208409704,1021.592993086079,462.81447788722,94.39456801870112,546.6455535737471,94.8605514157161,723.736787472659,452.694184480482,62.4411326437356,556.3717607957681,40.2344142305235,603.486090285197,1003.02285025577,121.47485008951948,412.260500462811,186.8175941766449,286.301667811728,600.309790516407
548.863711846234,752.68110044936,1007.932343168146,1052.83575293375,68.9230822219157,589.102729513462,442.592943353288,126.021579135601,455.10280172894704,42.244454818902895,0.0,622.7275879964241,146.8427692046829,76.4790540698228,391.4419984436741,1055.14956181344,1039.659245148227,979.59433673696,86.07681331456209,22.124386732779698,619.079749209473,166.001624091304,724.481159990449,453.153102309728,62.104033366680895,556.715498767038,60.085546481537705,623.425825391289,1003.492761007917,121.4432729219426,431.852925649525,187.12207392272728,286.554864123606,600.6170515782969
